model_key experiment_key datetime comment1 comment2 comment3 dataset case_tuple case compare_MSE prediction_MSE MSE_ratio model_type model_subtype data_dir result_dir predict_days label_as_signal input_len epochs batch_size learning_rate training_time layers num_params extreme_detail
0 7 2017-08-1609:01:03.150164 Test CNN na SY-MA.mat (0,325,357,488,0) (488,) 3019.62372644 9962.78279919 3.29934578005 CNN CNN /home/schin/Mercury/Chin/DATA/2017-05-08_data/ /home/schin/Mercury/Chin/Results/spearmint/0815/SY-MA_change_days/1/0/case0/ 1 True 30 1 19 3.09e-05 0.7512359619140625 ['Conv1D','MaxPooling1D','Dropout','Conv1D','Dropout','Conv1D','MaxPooling1D','Flatten','Dense'] 54051 [{'config':{'trainable':True,'strides':[1],'filters':50,'bias_initializer':{'config':{},'class_name':'Zeros'},'padding':'valid','kernel_size':[7],'use_bias':True,'kernel_initializer':{'config':{'mode':'fan_avg','distribution':'uniform','seed':None,'scale':1.0},'class_name':'VarianceScaling'},'dtype':'float32','bias_regularizer':None,'activation':'relu','dilation_rate':[1],'batch_input_shape':[None,30,24],'activity_regularizer':None,'kernel_regularizer':{'config':{'l1':0.0,'l2':0.0},'class_name':'L1L2'},'kernel_constraint':None,'bias_constraint':None,'name':'conv1d_7'},'class_name':'Conv1D'},{'config':{'trainable':True,'strides':[2],'padding':'valid','pool_size':[2],'name':'max_pooling1d_5'},'class_name':'MaxPooling1D'},{'config':{'trainable':True,'rate':0.1,'name':'dropout_5'},'class_name':'Dropout'},{'config':{'trainable':True,'strides':[1],'filters':100,'bias_initializer':{'config':{},'class_name':'Zeros'},'padding':'valid','kernel_size':[3],'use_bias':True,'bias_regularizer':None,'activation':'relu','dilation_rate':[1],'kernel_initializer':{'config':{'mode':'fan_avg','distribution':'uniform','seed':None,'scale':1.0},'class_name':'VarianceScaling'},'activity_regularizer':None,'kernel_regularizer':{'config':{'l1':0.0,'l2':0.0},'class_name':'L1L2'},'kernel_constraint':None,'bias_constraint':None,'name':'conv1d_8'},'class_name':'Conv1D'},{'config':{'trainable':True,'rate':0.1,'name':'dropout_6'},'class_name':'Dropout'},{'config':{'trainable':True,'strides':[1],'filters':100,'bias_initializer':{'config':{},'class_name':'Zeros'},'padding':'valid','kernel_size':[3],'use_bias':True,'bias_regularizer':None,'activation':'relu','dilation_rate':[1],'kernel_initializer':{'config':{'mode':'fan_avg','distribution':'uniform','seed':None,'scale':1.0},'class_name':'VarianceScaling'},'activity_regularizer':None,'kernel_regularizer':{'config':{'l1':0.0,'l2':0.0},'class_name':'L1L2'},'kernel_constraint':None,'bias_constraint':None,'name':'conv1d_9'},'class_name':'Conv1D'},{'config':{'trainable':True,'strides':[2],'padding':'valid','pool_size':[2],'name':'max_pooling1d_6'},'class_name':'MaxPooling1D'},{'config':{'trainable':True,'name':'flatten_3'},'class_name':'Flatten'},{'config':{'trainable':True,'activity_regularizer':None,'kernel_initializer':{'config':{'mode':'fan_avg','distribution':'uniform','seed':None,'scale':1.0},'class_name':'VarianceScaling'},'bias_initializer':{'config':{},'class_name':'Zeros'},'kernel_constraint':None,'bias_regularizer':None,'activation':'relu','units':1,'kernel_regularizer':None,'use_bias':True,'bias_constraint':None,'name':'dense_3'},'class_name':'Dense'}]
dummy 8 dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy
0 8 2017-08-1609:01:04.363470 Test CNN na SY-MA.mat (0,325,357,488,0) (488,) 3019.62372644 9986.36363636 3.30715497726 CNN CNN /home/schin/Mercury/Chin/DATA/2017-05-08_data/ /home/schin/Mercury/Chin/Results/spearmint/0815/SY-MA_change_days/2/0/case0/ 2 True 30 1 19 3.09e-05 0.747856855392456 ['Conv1D','MaxPooling1D','Dropout','Conv1D','Dropout','Conv1D','MaxPooling1D','Flatten','Dense'] 54051 [{'config':{'trainable':True,'strides':[1],'filters':50,'bias_initializer':{'config':{},'class_name':'Zeros'},'padding':'valid','kernel_size':[7],'use_bias':True,'kernel_initializer':{'config':{'mode':'fan_avg','distribution':'uniform','seed':None,'scale':1.0},'class_name':'VarianceScaling'},'dtype':'float32','bias_regularizer':None,'activation':'relu','dilation_rate':[1],'batch_input_shape':[None,30,24],'activity_regularizer':None,'kernel_regularizer':{'config':{'l1':0.0,'l2':0.0},'class_name':'L1L2'},'kernel_constraint':None,'bias_constraint':None,'name':'conv1d_10'},'class_name':'Conv1D'},{'config':{'trainable':True,'strides':[2],'padding':'valid','pool_size':[2],'name':'max_pooling1d_7'},'class_name':'MaxPooling1D'},{'config':{'trainable':True,'rate':0.1,'name':'dropout_7'},'class_name':'Dropout'},{'config':{'trainable':True,'strides':[1],'filters':100,'bias_initializer':{'config':{},'class_name':'Zeros'},'padding':'valid','kernel_size':[3],'use_bias':True,'bias_regularizer':None,'activation':'relu','dilation_rate':[1],'kernel_initializer':{'config':{'mode':'fan_avg','distribution':'uniform','seed':None,'scale':1.0},'class_name':'VarianceScaling'},'activity_regularizer':None,'kernel_regularizer':{'config':{'l1':0.0,'l2':0.0},'class_name':'L1L2'},'kernel_constraint':None,'bias_constraint':None,'name':'conv1d_11'},'class_name':'Conv1D'},{'config':{'trainable':True,'rate':0.1,'name':'dropout_8'},'class_name':'Dropout'},{'config':{'trainable':True,'strides':[1],'filters':100,'bias_initializer':{'config':{},'class_name':'Zeros'},'padding':'valid','kernel_size':[3],'use_bias':True,'bias_regularizer':None,'activation':'relu','dilation_rate':[1],'kernel_initializer':{'config':{'mode':'fan_avg','distribution':'uniform','seed':None,'scale':1.0},'class_name':'VarianceScaling'},'activity_regularizer':None,'kernel_regularizer':{'config':{'l1':0.0,'l2':0.0},'class_name':'L1L2'},'kernel_constraint':None,'bias_constraint':None,'name':'conv1d_12'},'class_name':'Conv1D'},{'config':{'trainable':True,'strides':[2],'padding':'valid','pool_size':[2],'name':'max_pooling1d_8'},'class_name':'MaxPooling1D'},{'config':{'trainable':True,'name':'flatten_4'},'class_name':'Flatten'},{'config':{'trainable':True,'activity_regularizer':None,'kernel_initializer':{'config':{'mode':'fan_avg','distribution':'uniform','seed':None,'scale':1.0},'class_name':'VarianceScaling'},'bias_initializer':{'config':{},'class_name':'Zeros'},'kernel_constraint':None,'bias_regularizer':None,'activation':'relu','units':1,'kernel_regularizer':None,'use_bias':True,'bias_constraint':None,'name':'dense_4'},'class_name':'Dense'}]
dummy 9 dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy
dummy 10 dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy
0 10 2017-08-1609:10:44.760698 Test CNN na SY-MA.mat (0,325,357,488,0) 0 3019.62372644 9948.70885667 3.29468495348 CNN CNN /home/schin/Mercury/Chin/DATA/2017-05-08_data/ /home/schin/Mercury/Chin/Results/spearmint/0815/SY-MA_change_days/1/0/case0/ 1 True 30 1 19 3.09e-05 3.001314401626587 ['Conv1D','MaxPooling1D','Dropout','Conv1D','Dropout','Conv1D','MaxPooling1D','Flatten','Dense'] 54051 [{'config':{'strides':[1],'use_bias':True,'dilation_rate':[1],'kernel_initializer':{'config':{'mode':'fan_avg','distribution':'uniform','scale':1.0,'seed':None},'class_name':'VarianceScaling'},'name':'conv1d_1','activity_regularizer':None,'filters':50,'bias_regularizer':None,'kernel_constraint':None,'bias_initializer':{'config':{},'class_name':'Zeros'},'kernel_regularizer':{'config':{'l2':0.0,'l1':0.0},'class_name':'L1L2'},'bias_constraint':None,'activation':'relu','batch_input_shape':[None,30,24],'dtype':'float32','padding':'valid','kernel_size':[7],'trainable':True},'class_name':'Conv1D'},{'config':{'strides':[2],'name':'max_pooling1d_1','trainable':True,'pool_size':[2],'padding':'valid'},'class_name':'MaxPooling1D'},{'config':{'rate':0.1,'name':'dropout_1','trainable':True},'class_name':'Dropout'},{'config':{'strides':[1],'use_bias':True,'dilation_rate':[1],'kernel_initializer':{'config':{'mode':'fan_avg','distribution':'uniform','scale':1.0,'seed':None},'class_name':'VarianceScaling'},'trainable':True,'activation':'relu','bias_initializer':{'config':{},'class_name':'Zeros'},'filters':100,'kernel_regularizer':{'config':{'l2':0.0,'l1':0.0},'class_name':'L1L2'},'name':'conv1d_2','bias_constraint':None,'kernel_constraint':None,'activity_regularizer':None,'padding':'valid','kernel_size':[3],'bias_regularizer':None},'class_name':'Conv1D'},{'config':{'rate':0.1,'name':'dropout_2','trainable':True},'class_name':'Dropout'},{'config':{'strides':[1],'use_bias':True,'dilation_rate':[1],'kernel_initializer':{'config':{'mode':'fan_avg','distribution':'uniform','scale':1.0,'seed':None},'class_name':'VarianceScaling'},'trainable':True,'activation':'relu','bias_initializer':{'config':{},'class_name':'Zeros'},'filters':100,'kernel_regularizer':{'config':{'l2':0.0,'l1':0.0},'class_name':'L1L2'},'name':'conv1d_3','bias_constraint':None,'kernel_constraint':None,'activity_regularizer':None,'padding':'valid','kernel_size':[3],'bias_regularizer':None},'class_name':'Conv1D'},{'config':{'strides':[2],'name':'max_pooling1d_2','trainable':True,'pool_size':[2],'padding':'valid'},'class_name':'MaxPooling1D'},{'config':{'name':'flatten_1','trainable':True},'class_name':'Flatten'},{'config':{'use_bias':True,'kernel_regularizer':None,'kernel_initializer':{'config':{'mode':'fan_avg','distribution':'uniform','scale':1.0,'seed':None},'class_name':'VarianceScaling'},'trainable':True,'activation':'relu','bias_regularizer':None,'units':1,'name':'dense_1','bias_constraint':None,'kernel_constraint':None,'activity_regularizer':None,'bias_initializer':{'config':{},'class_name':'Zeros'}},'class_name':'Dense'}]
dummy 11 dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy
0 11 2017-08-1609:10:45.756989 Test CNN na SY-MA.mat (0,325,357,488,0) 0 3019.62372644 9949.46551009 3.29493553219 CNN CNN /home/schin/Mercury/Chin/DATA/2017-05-08_data/ /home/schin/Mercury/Chin/Results/spearmint/0815/SY-MA_change_days/1/0/case0/ 1 True 30 1 19 3.09e-05 0.5993819236755371 ['Conv1D','MaxPooling1D','Dropout','Conv1D','Dropout','Conv1D','MaxPooling1D','Flatten','Dense'] 54051 [{'config':{'strides':[1],'use_bias':True,'dilation_rate':[1],'kernel_initializer':{'config':{'mode':'fan_avg','distribution':'uniform','scale':1.0,'seed':None},'class_name':'VarianceScaling'},'name':'conv1d_4','activity_regularizer':None,'filters':50,'bias_regularizer':None,'kernel_constraint':None,'bias_initializer':{'config':{},'class_name':'Zeros'},'kernel_regularizer':{'config':{'l2':0.0,'l1':0.0},'class_name':'L1L2'},'bias_constraint':None,'activation':'relu','batch_input_shape':[None,30,24],'dtype':'float32','padding':'valid','kernel_size':[7],'trainable':True},'class_name':'Conv1D'},{'config':{'strides':[2],'name':'max_pooling1d_3','trainable':True,'pool_size':[2],'padding':'valid'},'class_name':'MaxPooling1D'},{'config':{'rate':0.1,'name':'dropout_3','trainable':True},'class_name':'Dropout'},{'config':{'strides':[1],'use_bias':True,'dilation_rate':[1],'kernel_initializer':{'config':{'mode':'fan_avg','distribution':'uniform','scale':1.0,'seed':None},'class_name':'VarianceScaling'},'trainable':True,'activation':'relu','bias_initializer':{'config':{},'class_name':'Zeros'},'filters':100,'kernel_regularizer':{'config':{'l2':0.0,'l1':0.0},'class_name':'L1L2'},'name':'conv1d_5','bias_constraint':None,'kernel_constraint':None,'activity_regularizer':None,'padding':'valid','kernel_size':[3],'bias_regularizer':None},'class_name':'Conv1D'},{'config':{'rate':0.1,'name':'dropout_4','trainable':True},'class_name':'Dropout'},{'config':{'strides':[1],'use_bias':True,'dilation_rate':[1],'kernel_initializer':{'config':{'mode':'fan_avg','distribution':'uniform','scale':1.0,'seed':None},'class_name':'VarianceScaling'},'trainable':True,'activation':'relu','bias_initializer':{'config':{},'class_name':'Zeros'},'filters':100,'kernel_regularizer':{'config':{'l2':0.0,'l1':0.0},'class_name':'L1L2'},'name':'conv1d_6','bias_constraint':None,'kernel_constraint':None,'activity_regularizer':None,'padding':'valid','kernel_size':[3],'bias_regularizer':None},'class_name':'Conv1D'},{'config':{'strides':[2],'name':'max_pooling1d_4','trainable':True,'pool_size':[2],'padding':'valid'},'class_name':'MaxPooling1D'},{'config':{'name':'flatten_2','trainable':True},'class_name':'Flatten'},{'config':{'use_bias':True,'kernel_regularizer':None,'kernel_initializer':{'config':{'mode':'fan_avg','distribution':'uniform','scale':1.0,'seed':None},'class_name':'VarianceScaling'},'trainable':True,'activation':'relu','bias_regularizer':None,'units':1,'name':'dense_2','bias_constraint':None,'kernel_constraint':None,'activity_regularizer':None,'bias_initializer':{'config':{},'class_name':'Zeros'}},'class_name':'Dense'}]
dummy 12 dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy
dummy 13 dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy dummy
