model_key experiment_key datetime dataset case MSE_prediction MSE_compare MSE_ratio
45 48 2017-07-24,16:27:22.834925 EG-CU.mat (0,395,427,457,6) 3.93685570449 13.3416831643 0.29507938811
46 49 2017-07-24,16:31:28.497675 EG-CU.mat (0,395,427,457,6) 4.25245235351 13.3416831643 0.318734323184
47 50 2017-07-24,16:33:49.083961 EG-CU.mat (0,395,427,457,6) 3.89772073645 13.3416831643 0.29214610244
48 51 2017-07-24,16:34:21.543106 EG-CU.mat (0,395,427,457,6) 4.06775418182 13.3416831643 0.304890629744
49 52 2017-07-24,16:34:49.375249 EG-CU.mat (0,395,427,457,6) 5.77760743228 13.3416831643 0.433049365745
50 53 2017-07-24,16:38:12.109519 EG-CU.mat (0,395,427,457,6) 4.21116332734 13.3416831643 0.315639584262
51 54 2017-07-24,16:40:37.068808 EG-CU.mat (0,395,427,457,6) 5.26307178656 13.3416831643 0.394483343798
52 55 2017-07-24,16:42:44.759736 EG-CU.mat (0,395,427,457,6) 4.42981554449 13.3416831643 0.332028237362
53 56 2017-07-24,16:43:27.765304 EG-CU.mat (0,395,427,457,6) 3.88865598209 13.3416831643 0.291466671349
54 57 2017-07-24,16:44:56.909631 EG-CU.mat (0,395,427,457,6) 10.6252223096 13.3416831643 0.796392942235
55 58 2017-07-24,16:45:38.882953 EG-CU.mat (0,395,427,457,6) 3.96443676888 13.3416831643 0.297146673329
56 59 2017-07-24,16:47:26.592138 EG-CU.mat (0,395,427,457,6) 3.93309816079 13.3416831643 0.294797748706
57 60 2017-07-24,16:48:35.732865 EG-CU.mat (0,395,427,457,6) 4.07894630982 13.3416831643 0.305729514003
58 61 2017-07-24,16:50:52.620110 EG-CU.mat (0,395,427,457,6) 3.84444713303 13.3416831643 0.288153082761
59 62 2017-07-24,16:51:31.036910 EG-CU.mat (0,395,427,457,6) 3.88779012192 13.3416831643 0.291401772477
60 63 2017-07-24,16:52:18.114231 EG-CU.mat (0,395,427,457,6) 3.58302420006 13.3416831643 0.268558633564
61 64 2017-07-24,16:53:29.942847 EG-CU.mat (0,395,427,457,6) 3.84951564782 13.3416831643 0.288532983463
62 65 2017-07-24,16:54:44.618323 EG-CU.mat (0,395,427,457,6) 3.88971028061 13.3416831643 0.291545694251
63 66 2017-07-24,16:55:55.876381 EG-CU.mat (0,395,427,457,6) 3.85811989639 13.3416831643 0.289177898236
64 67 2017-07-24,16:57:27.265062 EG-CU.mat (0,395,427,457,6) 4.09499520982 13.3416831643 0.306932428194
65 68 2017-07-24,16:58:35.675502 EG-CU.mat (0,395,427,457,6) 3.55206852894 13.3416831643 0.26623841124
66 69 2017-07-24,16:59:35.238032 EG-CU.mat (0,395,427,457,6) 3.49198902062 13.3416831643 0.261735268153
67 70 2017-07-24,17:00:50.277961 EG-CU.mat (0,395,427,457,6) 3.74834927244 13.3416831643 0.280950253898
68 71 2017-07-24,17:02:04.995579 EG-CU.mat (0,395,427,457,6) 3.5462056178 13.3416831643 0.265798968101
69 72 2017-07-24,17:03:25.877665 EG-CU.mat (0,395,427,457,6) 4.32698730008 13.3416831643 0.324320945624
70 73 2017-07-24,17:04:18.467178 EG-CU.mat (0,395,427,457,6) 3.84716111638 13.3416831643 0.288356504123
71 74 2017-07-24,17:04:52.670765 EG-CU.mat (0,395,427,457,6) 4.60243052293 13.3416831643 0.344966258473
72 75 2017-07-24,17:05:36.534693 EG-CU.mat (0,395,427,457,6) 3.7869454428 13.3416831643 0.283843155032
73 76 2017-07-24,17:06:49.308966 EG-CU.mat (0,395,427,457,6) 5.62085511431 13.3416831643 0.421300299601
74 77 2017-07-24,17:08:20.273890 EG-CU.mat (0,395,427,457,6) 3.81205745128 13.3416831643 0.285725376951
75 78 2017-07-24,17:09:58.264245 EG-CU.mat (0,395,427,457,6) 3.6489219076 13.3416831643 0.273497868497
76 79 2017-07-24,17:10:49.737575 EG-CU.mat (0,395,427,457,6) 3.63267063242 13.3416831643 0.272279785667
77 80 2017-07-24,17:12:19.665394 EG-CU.mat (0,395,427,457,6) 4.50928460132 13.3416831643 0.337984686473
78 81 2017-07-24,17:13:10.169466 EG-CU.mat (0,395,427,457,6) 4.1136502551 13.3416831643 0.308330680952
79 82 2017-07-24,17:14:36.266840 EG-CU.mat (0,395,427,457,6) 4.32078186766 13.3416831643 0.323855829466
80 83 2017-07-24,17:15:42.979247 EG-CU.mat (0,395,427,457,6) 4.54461436265 13.3416831643 0.34063276025
